date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:47	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:27%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.form.min.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.form.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:47	15261/15261	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22560cee66-3b9d%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.form.min.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.form.min.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:47	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:27%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.rd-mailform.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.rd-mailform.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:48	54628/54628	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225620d756-d564%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.rd-mailform.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/mailform/jquery.rd-mailform.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:48	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:28%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/TMSearch.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/TMSearch.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:49	2736/2736	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255a6244c-ab0%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/TMSearch.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/TMSearch.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:49	189696/189696	---M-Z	200	added ('OK')	application/x-javascript	etag:%227082884382f42974421ac21762fa0ea9%22	http://connect.facebook.net/en_GB/sdk.js	C:/My%20Web%20Sites/resertec/connect.facebook.net/en_GB/sdk.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:50	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:30%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:51	67544/67544	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255365c52-107d8%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:51	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Sep%202016%2015:29:31%20GMT	http://livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox-media.js	C:/My%20Web%20Sites/resertec/livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox-media.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
10:29:52	5503/5503	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225534a332-157f%22	http://static.livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox-media.js	C:/My%20Web%20Sites/resertec/static.livedemo00.template-help.com/constrex_v1-2/js/jquery.fancybox-media.js	(from http://static.livedemo00.template-help.com/constrex_v1-2/js/tm-scripts.js)
